iter	Logloss
0	0.6807692315
1	0.6682702674
2	0.6576564801
3	0.6496342311
4	0.6421526064
5	0.6358671113
6	0.630397145
7	0.6245895271
8	0.6199535709
9	0.6158624826
10	0.6118244095
11	0.6075308414
12	0.6041596099
13	0.6015092976
14	0.5993727011
15	0.5972328193
16	0.5954429254
17	0.5930675922
18	0.5909097969
19	0.5892571428
20	0.5866620619
21	0.5851868961
22	0.5836464797
23	0.5812288166
24	0.5793698201
25	0.5777642652
26	0.5758097048
27	0.5741275494
28	0.5716378942
29	0.5708034332
30	0.5691848863
31	0.5681292818
32	0.5668059961
33	0.5655860495
34	0.5644640626
35	0.5632992123
36	0.562142241
37	0.5606903126
38	0.559097449
39	0.5579191018
40	0.5570395234
41	0.5559839054
42	0.5546055174
43	0.5538778381
44	0.5527745175
45	0.5520346799
46	0.5512272962
47	0.549575528
48	0.5486126935
49	0.5478183188
50	0.5459323403
51	0.5442148906
52	0.5431408594
53	0.5419324258
54	0.5413004939
55	0.5405613031
56	0.5386560547
57	0.5378768331
58	0.5363407175
59	0.5352022133
60	0.5339618675
61	0.5327282575
62	0.5311916038
63	0.5298777989
64	0.5290501169
65	0.5273579213
66	0.5265848407
67	0.5252317992
68	0.5239528291
69	0.5226664749
70	0.5217516683
71	0.5209227236
72	0.5192612874
73	0.5182483163
74	0.5169143151
75	0.5157782614
76	0.5146550533
77	0.5137471485
78	0.5124622707
79	0.5110759411
80	0.5092711626
81	0.5078740277
82	0.5067440898
83	0.5054986578
84	0.5045154055
85	0.5039320524
86	0.5030278994
87	0.5015907762
88	0.5005300844
89	0.4990608225
90	0.4982642106
91	0.4967861779
92	0.495075531
93	0.4940635613
94	0.4926929793
95	0.4914235568
96	0.4907097452
97	0.489504966
98	0.4887118114
99	0.4880950708
100	0.4873862866
101	0.4865939461
102	0.4858843136
103	0.4841860801
104	0.4827778413
105	0.4817691441
106	0.4804413547
107	0.479327262
108	0.4782879315
109	0.4774310311
110	0.4766822351
111	0.475417719
112	0.4746930657
113	0.4740296159
114	0.4730081642
115	0.4721158503
116	0.4712973753
117	0.4703892481
118	0.4693831607
119	0.4683760645
120	0.466952052
121	0.4661462891
122	0.4649127969
123	0.4641747098
124	0.4633480014
125	0.4624919539
126	0.4616346801
127	0.4606320604
128	0.4599777229
129	0.4592037654
130	0.4583711381
131	0.456751071
132	0.4551262177
133	0.454069443
134	0.4528006167
135	0.4520048794
136	0.4513172962
137	0.4506464238
138	0.4495117767
139	0.4484923195
140	0.4474585661
141	0.4467314527
142	0.44466069
143	0.4440465783
144	0.4434475667
145	0.442653976
146	0.4414500406
147	0.440209297
148	0.4395655421
149	0.4387465312
150	0.4377478227
151	0.4363100786
152	0.4352405374
153	0.4337496385
154	0.4324233698
155	0.4315944676
156	0.4300682221
157	0.4289280043
158	0.4279931778
159	0.4266753483
160	0.4260555056
161	0.4253924001
162	0.4242878387
163	0.4235527297
164	0.4225839982
165	0.4211430091
166	0.4200531494
167	0.4188319957
168	0.417907099
169	0.4163410335
170	0.4152475687
171	0.4140078992
172	0.4131199064
173	0.4118143259
174	0.4106637882
175	0.4100350013
176	0.4092096849
177	0.4080000031
178	0.4073351965
179	0.4069556036
180	0.4063611318
181	0.4055097464
182	0.4047275383
183	0.4036935008
184	0.4031621444
185	0.4026073146
186	0.4008287811
187	0.3996489225
188	0.3986794553
189	0.3979245926
190	0.3966423845
191	0.3960066404
192	0.3945313005
193	0.3938657455
194	0.3929575991
195	0.3918488024
196	0.3911164847
197	0.3901665436
198	0.3888610012
199	0.3877287115
