iter	Passed	Remaining
0	83	16541
1	90	8941
2	97	6408
3	105	5179
4	120	4711
5	128	4151
6	135	3735
7	142	3423
8	151	3208
9	162	3090
10	170	2934
11	178	2793
12	186	2685
13	196	2615
14	206	2548
15	214	2461
16	221	2380
17	229	2323
18	237	2264
19	248	2236
20	255	2180
21	263	2130
22	272	2094
23	281	2066
24	294	2062
25	307	2057
26	318	2042
27	327	2009
28	334	1973
29	345	1960
30	354	1931
31	362	1902
32	370	1873
33	377	1845
34	385	1815
35	393	1790
36	401	1770
37	409	1744
38	415	1716
39	424	1698
40	434	1683
41	444	1673
42	453	1657
43	463	1642
44	476	1642
45	494	1654
46	506	1647
47	524	1661
48	544	1677
49	566	1698
50	618	1805
51	628	1789
52	641	1780
53	653	1765
54	666	1758
55	679	1746
56	686	1723
57	695	1702
58	707	1691
59	722	1685
60	732	1668
61	748	1665
62	758	1648
63	773	1644
64	786	1632
65	798	1621
66	807	1603
67	817	1587
68	825	1566
69	832	1546
70	839	1525
71	848	1508
72	857	1491
73	864	1472
74	874	1456
75	881	1438
76	893	1426
77	911	1425
78	922	1413
79	936	1405
80	946	1391
81	956	1376
82	968	1365
83	979	1352
84	989	1338
85	1000	1326
86	1008	1309
87	1016	1293
88	1024	1277
89	1033	1263
90	1041	1247
91	1050	1233
92	1062	1222
93	1072	1209
94	1079	1193
95	1087	1177
96	1094	1162
97	1106	1151
98	1117	1139
99	1128	1128
100	1138	1115
101	1148	1103
102	1156	1089
103	1172	1082
104	1189	1075
105	1203	1067
106	1212	1054
107	1223	1041
108	1234	1030
109	1243	1017
110	1252	1004
111	1265	994
112	1274	980
113	1282	967
114	1289	953
115	1299	940
116	1312	931
117	1322	919
118	1330	905
119	1348	899
120	1360	888
121	1372	877
122	1384	866
123	1397	856
124	1409	845
125	1421	835
126	1429	821
127	1436	807
128	1443	794
129	1450	781
130	1459	768
131	1467	755
132	1475	743
133	1483	730
134	1490	717
135	1498	705
136	1507	693
137	1521	683
138	1533	672
139	1548	663
140	1563	654
141	1580	645
142	1595	636
143	1611	626
144	1620	614
145	1627	602
146	1640	591
147	1653	580
148	1665	570
149	1677	559
150	1686	547
151	1695	535
152	1707	524
153	1716	512
154	1728	501
155	1743	491
156	1755	480
157	1771	470
158	1792	462
159	1804	451
160	1820	440
161	1832	429
162	1847	419
163	1861	408
164	1874	397
165	1884	386
166	1895	374
167	1904	362
168	1914	351
169	1922	339
170	1939	328
171	1968	320
172	1994	311
173	2016	301
174	2045	292
175	2064	281
176	2073	269
177	2084	257
178	2092	245
179	2100	233
180	2108	221
181	2116	209
182	2125	197
183	2133	185
184	2145	173
185	2154	162
186	2164	150
187	2173	138
188	2184	127
189	2197	115
190	2210	104
191	2223	92
192	2235	81
193	2245	69
194	2252	57
195	2260	46
196	2268	34
197	2275	22
198	2283	11
199	2291	0
